ID,Tựa đề,Link hako,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
NOT FOUND,Seirei Tsukai no Blade Dance,https://ln.hako.vn/truyen/1-seirei-tsukai-no-blade-dance,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'School Life', 'Super Power', '']",Yes,Yes,Yes,japanese,NOT FOUND,Shimizu Yuu,"Sakura Hanpen, Nimura Yuuji, Shimesada Kohada",light novel,Đã hoàn thành,2944.0,1071757,NOT FOUND,NOT FOUND,medassin,https://ln.hako.vn/thanh-vien/39,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,21,272,11,11,2016,20,7,2020
NOT FOUND,Utsuro no Hako to Zero no Maria,https://ln.hako.vn/truyen/10-utsuro-no-hako-to-zero-no-maria,Truyện dịch,"['Drama', 'Mystery', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Mikage Eiji,Tetsuo (415),light novel,Tạm ngưng,889.0,333710,Hakomari,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,6,25,11,11,2016,11,11,2016
NOT FOUND,Accel World,https://ln.hako.vn/truyen/100-accel-world,Truyện dịch,"['Action', 'Harem', 'School Life', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Reki Kawahara,HIMA,light novel,Tạm ngưng,119.0,90591,NOT FOUND,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,2,14,11,11,2016,11,11,2016
NOT FOUND,Psycho Love Comedy,https://ln.hako.vn/truyen/101-psycho-love-comedy,Truyện dịch,"['Comedy', 'Harem', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Mizuki Mizushiro,Namanie,light novel,Đang tiến hành,237.0,47955,Psycome,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,14,11,2016
NOT FOUND,A Simple Survey,https://ln.hako.vn/truyen/102-a-simple-survey,Truyện dịch,"['Horror', 'Mystery', 'Supernatural', 'Fantasy', 'Science Fiction', 'Suspense']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Kamachi Kazuma,Haimura Kiyotaka,light novel,Đã hoàn thành,85.0,82382,NOT FOUND,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,34,11,11,2016,11,11,2016
NOT FOUND,Clockwork Planet,https://ln.hako.vn/truyen/103-clockwork-planet,Truyện dịch,"['Drama', 'Fantasy', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Tsubaki Himana,Shino,light novel,Đang tiến hành,167.0,40130,クロックワーク・プラネット,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,2,5,11,11,2016,1,6,2017
NOT FOUND,All you need is kill,https://ln.hako.vn/truyen/104-all-you-need-is-kill,Truyện dịch,"['Science Fiction', 'Action', 'Mecha', 'Mystery', 'Tragedy', 'Romance', 'Psychological', '']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Hiroshi Sakurazaka,"Takeshi Obata, Yoshitoshi ABe",light novel,Đã hoàn thành,103.0,75053,Chỉ việc giết là được,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,5,11,11,2016,11,11,2016
NOT FOUND,Yahari Ore no Seishun Love Come wa Machigatteiru,https://ln.hako.vn/truyen/108-yahari-ore-no-seishun-love-come-wa-machigatteiru,Truyện dịch,"['Comedy', 'Drama', 'School Life', 'Slice of Life', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Wataru Watari,Ponkan⑧,light novel,Đang tiến hành,540.0,348338,OreGairu,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,14,41,11,11,2016,27,11,2016
NOT FOUND,Fate/Zero,https://ln.hako.vn/truyen/11-fatezero,Truyện dịch,"['Action', 'Fantasy', 'Supernatural', 'Drama']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Gen Urobuchi,Takeuchi Takashi,light novel,Đã hoàn thành,190.0,366178,NOT FOUND,NOT FOUND,Hako-chan,https://ln.hako.vn/thanh-vien/2,NOT FOUND,Vnsharing,https://ln.hako.vn/nhom-dich/9-vnsharing,NOT FOUND,NOT FOUND,NOT FOUND,5,27,11,11,2016,22,8,2017
NOT FOUND,Chuunibyou Demo Koi ga Shitai!,https://ln.hako.vn/truyen/110-chuunibyou-demo-koi-ga-shitai,Truyện dịch,"['Comedy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,NOT FOUND,Torako,Nozomi Ousaka,light novel,Đang tiến hành,270.0,208476,Cuồng dâm sinh hoang tưởng vẫn muốn hưởng tình yêu,NOT FOUND,EmbersGlow,https://ln.hako.vn/thanh-vien/1,NOT FOUND,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,None,Zennomi,https://ln.hako.vn/thanh-vien/3855,3,36,11,11,2016,26,12,2018
